"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,241,000,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,536,000,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,389,000,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,644,000,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,446,000,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,242,000,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,279,000,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,969,000,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,976,000,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,138,000,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,277,000,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,381,000,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,870,000,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,651,000,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,126,000,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","20,842,000,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","20,185,000,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","19,694,000,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","18,693,000,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","18,424,000,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","16,423,000,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","15,296,000,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","15,296,000,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","14,725,000,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","13,608,000,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","13,330,000,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","14,211,000,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","14,462,000,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","13,569,000,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","12,963,000,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","12,407,000,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,650,000,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,837,000,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,534,000,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,439,000,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,075,000,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","10,432,000,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,373,000,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","10,276,000,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,112,000,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,575,000,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,847,000,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,089,000,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,182,000,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,236,000,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,131,000,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,018,000,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,597,000,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,853,000,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,647,000,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,739,000,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,064,000,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,212,000,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,107,000,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED"," (D)",""
